,category,value,ques,ans
2679,take a shot,$1000,word for the larg size of shot use for deer hunt,buckshot
2680,poet poetri,$400,"in one thousand, eight hundred and twenty-three shelley wa buri in the same rome cemeteri where thi poet had been buri two year earlier",keat
2681,wine,$400,yeasti is often a flaw in wine but it 's an asset in these like perrier jouet,champagn
2682,let' get bizet,$1000,bizet wrote a for thi austrian surpris symphoni man he ha sent me to sleep for some time past,haydn
2683,the romanov,$400,alexand ii ad seven two hundred zero to russia 's coffer by sell off what 's now known a thi,alaska
2684,anim talk,$400,in brown 's the pie piper of hamelin out of the hous these came tumbl great small lean brawni,rat
2685,lesser known folk,$400,under the auspic of the marquess of queensberri john graham chamber drew up the rule for thi sport,box
2686,don't go to piec,$1000,someth may be blown to these from the irish gaelic smoidar fragment,smithereen
2687,salmon,$200,fish ladder help salmon travel upstream over these man made obstruct,dam
2688,coloni america,$200,"in one thousand, seven hundred and sixty-two ben franklin wa given an honorari degre by thi english univers",oxford
2689,signag,$1000,thi famili 's coat of arm is on build all around florenc like the one seen a href http www j archiv com medium two thousand and eleven six twenty-seven j twenty-five jpg target blank here a,medici
2690,a plu,$400,hey bud he 's the head monk,abbot
2691,vocabulari,$200,member of thi militari group are call leatherneck,marin
2692,l a stori,$1000,docent at l a 's page museum are in a sticki situat la brea mean thi substanc in spanish,tar
2693,bake three,$400,three basic type of thi ingredi are tabl kosher sea,salt
2694,archaeolog,$200,"in one thousand, nine hundred and ninety-six franck goddio discov her palac underwat in the harbor of alexandria",cleopatra
2695,d talk,$1000,to absorb nutrient or a collect of publish materi,digest
2696,gr ab bag,$1000,jot thi down it 's the studi of handwrit,grapholog
2697,on the go,$1000,in the book of daniel he surviv be put into a furnac,abednego
2698,nation of africa,$400,hi i'm nba all star dikemb mutombo one of the mani languag i speak is thi offici one of my birthplac congo,french
2699,blast from the past,$200,a product of about twenty zero b c you 'll find the art seen here in thi countri cave draw,franc
2700,foreign film oscar nation,$200,"one thousand, nine hundred and fifty-one rashomon",japan
2701,anagram univers,$200,in jolli old england bardic gem,cambridg
2702,music youth,$200,he 's the youngest member of the group heard here mmmbop,zac
2703,shakespearean polic blotter,$200,multipl homicid regicid via poison in ear unit dispatch to nunneri for further investig,hamlet
2704,don't say the l word,$1000,in britain 's royal navi it 's the rank just below captain,command
2705,a hostel takeov,$400,i'm sure the red bu hostel is fine but the mellow mood central hostel caught my eye in thi capit of hungari,budapest
2706,worm,$1000,"in thi one thousand, nine hundred and sixty-five sci fi novel giant sandworm on the planet arraki creat a much desir spice call melang",dune
2707,classic logo,$400,"thi automak corpor got it pentastar symbol in one thousand, nine hundred and sixty-two",chrysler
2708,andrew johnson,$400,"johnson wa the first presid to whom the hous of repres did thi the senat acquit him in may one thousand, eight hundred and sixty-eight",impeach
2709,r rate opera,$200,some danc to rememb she danc for the head of john the baptist after he resist her advanc,salom
2710,bird verb,$1000,flutter a in a candl,flicker
2711,what,$200,thi dagger give it name to a high heel that rest on a tini base,stiletto
2712,add a pin ch,$400,the type of bowl done on the pba circuit or one of the object you 'd aim your ball at,tenpin
2713,what' in a name ?,$400,thi name share by great terribl ruler is a russian variat of john,ivan
2714,mytholog,$400,orthru a two head dog who guard the cattl of geryon wa the brother of thi hade hound,cerberu
2715,teen potpourri,$200,three teen were on the team usa that won gold in august two thousand and five at the 26th world championship of twirl these,baton
2716,a categori for the bird,$1000,these larg bird can be found in mix herd with guanaco in south america,rhea
2717,cat dog,$200,one of the first of these cat in the unit state wa given to mr rutherford b hay by the consul in bangkok,siames
2718,come ho chi minh,$400,"ho chi minh help start vietnam 's communist parti in the one thousand, nine hundred and twenty help start thi eur countri 's communist parti",franc
2719,color group,$200,they wish you were here floyd,pink
2720,s ential knowledg,$400,import newspap publish in thi countri includ diario de cadiz diario de mallorca,spain
2721,shakespear,$400,it must be tea time the last spoken word in thi play is scone,macbeth
2722,western song,$400,in the song tennesse stud the tennesse stud is n't a macho cowboy it 's one of these,hors
2723,polit scienc,$1000,"in one thousand, nine hundred and twenty-one the black flag flew at the funer of peter kropotkin philosoph of thi govern negat ideolog",anarchi
2724,it' all a legend,$200,one legend say the snow of kilimanjaro are the final rest place of menelik son of solomon thi queen,sheba
2725,best sell u s newspap,$1000,the onli newspap not in the continent u s to make the top one hundred is thi citi 's advertis at no seventy-nine,honolulu
2726,measur for measur,$400,measur in degre it 's the angular distanc north or south of the earth 's equat,latitud
2727,my life a a dog,$1000,it 's john steinbeck 's famou poodl travel companion,charley
2728,wrigley field,$200,"purist scream but mani nine to 5er were plea when wrigley field ad these in one thousand, nine hundred and eighty-eight",light
2729,game goal,$1000,do n't be the person who toppl the tower that start with fifty-four wooden block,jenga
2730,the whiskey trail,$1000,the tini town of penderyn hous thi u k nation 's onli whiski distilleri,wale
2731,name that mammal,$1000,marsupi that come in a virginia type,opossum
2732,trivia,$400,number of vowel on the bottom row of key of a standard typewrit,zero
2733,marxism,$200,ask are you a man or a mous ? groucho repli put a piec of thi down there and you 'll find out,chees
2734,movi adject,$200,"one thousand, nine hundred and eighty-nine the baker boy",fabul
2735,the frank,$1000,earli frankish king clovi i belong to thi dynasti whose name come from it founder merovech,merovingian
2736,constel,$200,with thi constel wind around it ursa minor must hope it is n't fire breath,draco
2737,busi industri,$200,"thi compani get it name from the snappi carbon appl juic it introduc in one thousand, nine hundred and seventy-eight",snappl
2738,good old southern eat,$200,veget that fall under thi color gener term are mustard spinach turnip,green
2739,notabl woman,$200,after she wa marri thi indian princess wa known a rebecca rolf,pocahonta
2740,biblic quot,$1000,when the virgin mari arriv john the baptist leap in thi woman 's womb,elizabeth
2741,word,$200,chat about thi in your chat room chat is mere a shorten form of thi seven letter word,chatter
2742,american revolut,$200,"the battl that wa fought the farthest north wa the one at thi canadian citi decemb thirty-one one thousand, seven hundred and seventy-five",quebec
2743,bug name,$200,a googli is a decept deliveri by the bowler in thi sport,cricket
2744,bug,$200,thi bloodsuck insect cimex lectulariu is often found in mattress do n't let 'em bite,bedbug
2745,it' a crime,$1000,thi is the act of kill one 's own brother,fratricid
2746,a quick a you can say,$400,speedi plural term for a quickli move section of a river,rapid
2747,the seven contin,$400,at over two hundred peopl per squar mile it ha the highest popul densiti,asia
2748,stop pull my cheney,$400,"from one thousand, nine hundred and ninety-five to two thousand cheney wa ceo of thi energi servic firm",halliburton
2749,hot water,$400,from old nors for gush these erupt spring are found in iceland new zealand yellowston,geyser
2750,nearli useless inform,$200,the number of eye visibl on the back of the u s one bill,two
2751,world capit,$200,chare cross a traffic squar near the thame is usual regard a thi citi 's center,london
2752,hollywood' biggest grosser,$200,"one thousand, nine hundred and seventy-six a star is born all the presid 's men rocki",rocki
2753,y s up,$200,it 's three letter slang for mouth a in shut your,yap
2754,kangaroo word,$200,it 's just one letter shorter than rotund,round
2755,the other,$1000,the holiest citi in islam are mecca thi,medina
2756,r t,$400,he wa the youngest of the three creator of the high renaiss,raphael
2757,histor ship,$200,the confeder ship the virginia wa also known by thi name,merrimac
2758,the solar system,$400,"it moon triton wa first seen in one thousand, eight hundred and forty-six a second satellit around thi planet wa n't found until one thousand, nine hundred and forty-nine",neptun
2759,number plea,$200,in the biblic flood the rain last thi mani day the water stay one hundred and ten more,forty
